2024-02-22 22:09:25,942 INFO    MainThread:38934 [wandb_setup.py:_flush():76] Current SDK version is 0.16.3
2024-02-22 22:09:25,943 INFO    MainThread:38934 [wandb_setup.py:_flush():76] Configure stats pid to 38934
2024-02-22 22:09:25,943 INFO    MainThread:38934 [wandb_setup.py:_flush():76] Loading settings from /Users/hope/.config/wandb/settings
2024-02-22 22:09:25,943 INFO    MainThread:38934 [wandb_setup.py:_flush():76] Loading settings from /Users/hope/Desktop/Projects/mod-rwkv/wandb/settings
2024-02-22 22:09:25,943 INFO    MainThread:38934 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-02-22 22:09:25,943 INFO    MainThread:38934 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-02-22 22:09:25,943 INFO    MainThread:38934 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program_abspath': '/Users/hope/Desktop/Projects/mod-rwkv/train.py', 'program': '/Users/hope/Desktop/Projects/mod-rwkv/train.py'}
2024-02-22 22:09:25,943 INFO    MainThread:38934 [wandb_init.py:_log_setup():526] Logging user logs to /Users/hope/Desktop/Projects/mod-rwkv/wandb/run-20240222_220925-wm0guvff/logs/debug.log
2024-02-22 22:09:25,943 INFO    MainThread:38934 [wandb_init.py:_log_setup():527] Logging internal logs to /Users/hope/Desktop/Projects/mod-rwkv/wandb/run-20240222_220925-wm0guvff/logs/debug-internal.log
2024-02-22 22:09:25,943 INFO    MainThread:38934 [wandb_init.py:init():566] calling init triggers
2024-02-22 22:09:25,943 INFO    MainThread:38934 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
config: {}
2024-02-22 22:09:25,943 INFO    MainThread:38934 [wandb_init.py:init():616] starting backend
2024-02-22 22:09:25,943 INFO    MainThread:38934 [wandb_init.py:init():620] setting up manager
2024-02-22 22:09:25,947 INFO    MainThread:38934 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-02-22 22:09:25,949 INFO    MainThread:38934 [wandb_init.py:init():628] backend started and connected
2024-02-22 22:09:25,953 INFO    MainThread:38934 [wandb_init.py:init():720] updated telemetry
2024-02-22 22:09:25,980 INFO    MainThread:38934 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-02-22 22:09:26,269 INFO    MainThread:38934 [wandb_run.py:_on_init():2262] communicating current version
2024-02-22 22:09:26,389 INFO    MainThread:38934 [wandb_run.py:_on_init():2271] got version response 
2024-02-22 22:09:26,389 INFO    MainThread:38934 [wandb_init.py:init():804] starting run threads in backend
2024-02-22 22:09:27,681 INFO    MainThread:38934 [wandb_run.py:_console_start():2241] atexit reg
2024-02-22 22:09:27,681 INFO    MainThread:38934 [wandb_run.py:_redirect():2096] redirect: wrap_raw
2024-02-22 22:09:27,681 INFO    MainThread:38934 [wandb_run.py:_redirect():2161] Wrapping output streams.
2024-02-22 22:09:27,682 INFO    MainThread:38934 [wandb_run.py:_redirect():2186] Redirects installed.
2024-02-22 22:09:27,682 INFO    MainThread:38934 [wandb_init.py:init():847] run started, returning control to user process
2024-02-22 22:15:35,460 WARNING MsgRouterThr:38934 [router.py:message_loop():77] message_loop has been closed
